ਅਫ਼ਰੀਕਾ	非洲
ਸੇਨੇਗਲ	塞内加尔
ਸੇਸ਼ੈਲ	塞舌尔
ਕਾਰਲ ਲੀਨੀਅਸ	卡尔·林奈
ਸਿਏਰਾ ਲਿਓਨ	塞拉利昂
ਸੋਮਾਲੀਆ	索马里
ਨਿਓਬੀਅਮ	铌
ਜਵਾਹਰ ਲਾਲ ਨਹਿਰੂ	贾瓦哈拉尔·尼赫鲁
ਜੂਲੀਅਸ ਸੀਜ਼ਰ	尤利烏斯·凱撒
ਸੁਡਾਨ	苏丹共和国
ਸਵਾਜ਼ੀਲੈਂਡ	斯威士兰
ਸਤਰੰਗੀ ਪੀਂਘ	彩虹
ਮੋਲਿਬਡੇਨਮ	钼
ਟੈਕਨੀਸ਼ੀਅਮ	锝
ਹਾਮਬੁਰਕ	汉堡
ਨਰਿੰਦਰ ਮੋਦੀ	纳伦德拉·莫迪
ਇਮਿਊਨ ਸਿਸਟਮ	免疫系统
ਗੁਜਰਾਤ	古吉拉特邦
ਓਂਟਾਰੀਓ ਝੀਲ	安大略湖
ਵਿਕਾਸਵਾਦ	演化
ਸੰਯੁਕਤ ਰਾਸ਼ਟਰ	联合国
ਸੁਪੀਰੀਅਰ ਝੀਲ	苏必利尔湖
ਦਾਂਤੇ ਆਲੀਗੀਏਰੀ	但丁·阿利吉耶里
ਭੂਗਰਭ ਵਿਗਿਆਨ	地质学
ਅਹਿਮਦਾਬਾਦ	艾哈迈达巴德
ਭੂਗੋਲ	地理学
ਦਿਲ	心臟
ਦਿਮਾਗ਼	脑
ਰੰਗ	颜色
ਬਰੇਕਿੰਗ ਬੈਡ	絕命毒師
ਨਾਂਵ	名詞
ਪ੍ਰਾਗ	布拉格
ਰ੍ਹੋਡੀਅਮ	铑
ਨੀਲਾ	藍色
ਪੈਲੇਡੀਅਮ	钯
ਚਾਂਦੀ	銀
ਕੈਡਮੀਅਮ	镉
ਇੰਡੀਅਮ	铟
ਟੀਨ	锡
ਯੂਰੇਨੀਅਮ	鈾
ਐਂਟੀਮਨੀ	锑
ਟੈਲੂਰੀਅਮ	碲
ਪਲੂਟੋਨੀਅਮ	钚
ਆਇਓਡੀਨ	碘
ਜ਼ੀਨਾਨ	氙
﻿ਐਨੀਮੇ	日本动画
ਸੀਜ਼ੀਅਮ	铯
ਬਿਜਲਈ ਚਾਰਜ	電荷
ਬੇਰੀਅਮ	钡
ਹਾਫ਼ਨੀਅਮ	铪
ਟੈਂਟਲਮ	钽
ਰੇਡੀਅਮ	镭
ਰੇਡਾਨ	氡
ਲੋਰੈਨ	洛林
ਅਲਸਾਸ	阿尔萨斯
ਇੰਦਰਾ ਗਾਂਧੀ	英迪拉·甘地
ਮਰਕਰੀ	墨丘利
ਓਵੈਰਨੀ	奥弗涅
ਮੁੰਬਈ	孟买
ਅੰਤਰਰਾਸ਼ਟਰੀ ਅਥਲੈਟਿਕਸ ਸੰਘ ਪ੍ਰੀਸ਼ਦ	国际田径联合会
ਆਂਧਰਾ ਪ੍ਰਦੇਸ਼	安得拉邦
ਅਰੁਨਾਚਲ ਪ੍ਰਦੇਸ਼	阿鲁纳恰尔邦
ਅਸਾਮ	阿萨姆邦
ਬਿਹਾਰ	比哈尔邦
ਮਿਸ਼ੀਗਨ	密歇根州
ਛੱਤੀਸਗੜ੍ਹ	恰蒂斯加尔邦
ਮਿਸ਼ੀਗਨ ਝੀਲ	密歇根湖
ਗੋਆ	果阿邦
ਬਰਗੰਡੀ	勃艮第
ਹਰਿਆਣਾ	哈里亚纳邦
ਹਿਮਾਚਲ ਪ੍ਰਦੇਸ਼	喜马偕尔邦
ਆਕੀਤੈਨ	阿基坦
ਜੰਮੂ ਅਤੇ ਕਸ਼ਮੀਰ	查谟-克什米尔邦
ਪੁਇਰਤੋ ਰੀਕੋ	波多黎各
ਝਾਰਖੰਡ	贾坎德邦
ਕਰਨਾਟਕ	卡纳塔克邦
ਕੇਰਲਾ	喀拉拉邦
ਮੱਧ ਪ੍ਰਦੇਸ਼	中央邦
ਉਸੈਨ ਬੋਲਟ	尤塞恩·博尔特
ਲਿਮੂਜ਼ੈਂ	利穆赞
ਮਹਾਂਰਾਸ਼ਟਰ	马哈拉施特拉邦
ਮਨੀਪੁਰ	曼尼普尔邦
ਮੇਘਾਲਿਆ	梅加拉亚邦
ਉੱਤਰੀ ਰਾਈਨ-ਪੱਛਮੀ ਫ਼ਾਲਨ	北莱茵-威斯特法伦
ਹੈੱਸਨ	黑森
ਜ਼ਾਰਲਾਂਡ	薩爾蘭
ਜ਼ਾਕਸਨ	萨克森自由州
ਜਾਨ ਲੈਨਨ	约翰·列侬
ਇਲੀਨਾਏ	伊利诺伊州
ਉੱਤਰੀ ਡਕੋਟਾ	北达科他州
ਬ੍ਰਾਂਡਨਬੁਰਕ	勃兰登堡
ਬਰੇਮਨ (ਰਾਜ)	不來梅州
ਲੋਂਬਾਰਦੀਆ	伦巴第
ਦੱਖਣੀ ਡਕੋਟਾ	南达科他州
ਮੋਂਟਾਨਾ	蒙大拿州
ਵਾਇਓਮਿੰਗ	怀俄明州
ਪੀਏਮੋਂਤੇ	皮埃蒙特
ਜੇਰੂਸਲਮ	耶路撒冷
ਆਇਡਾਹੋ	爱达荷州
ਆਓਸਤਾ ਘਾਟੀ	瓦莱达奥斯塔
ਵਾਸ਼ਿੰਗਟਨ (ਰਾਜ)	华盛顿州
ਰੂਥੇਨੀਅਮ	鑪
ਨਵਾਡਾ	内华达州
ਡਾਨ (ਦਰਿਆ)	頓河 (俄羅斯)
ਹਿੰਦ ਮਹਾਂਸਾਗਰ	印度洋
ਵੈਨੇਤੋ	威尼托
ਕੋਸੋਵੋ ਗਣਰਾਜ	科索沃
ਕਰੀਬੀਆਈ ਸਮੁੰਦਰ	加勒比海
ਕੋਫ਼ੀ ਅੰਨਾਨ	科菲·安南
ਲਿਗੂਰੀਆ	利古里亞
ਕੋਲੋਰਾਡੋ	科羅拉多州
ਏਮੀਲੀਆ-ਰੋਮਾਞਾ	艾米利亚-罗马涅
ਕੋਲੋਰਾਡੋ ਦਰਿਆ	科羅拉多河
ਫਰਾਦਾਰੀਕ ਸ਼ੋਪੁਹ	弗雷德里克·肖邦
ਤੋਸਕਾਨਾ	托斯卡纳
ਮਾਰਕੇ	马尔凯
ਅੰਬਰੀਆ	翁布里亚
ਲਾਤਸੀਓ	拉齐奥
ਆਬਰੂਤਸੋ	阿布鲁佐
ਐਪਨਾਈਨ ਪਹਾੜ	亚平宁山脉
ਐਲਪ	阿尔卑斯山
ਕਾਰਪਾਤੀ ਪਹਾੜ	喀尔巴阡山脉
ਬਲੇਸ ਪਾਸਕਾਲ	布莱兹·帕斯卡
ਸ਼ਿਕਾਗੋ	芝加哥
ਦ ਬੀਟਲਜ਼	披頭四樂隊
ਸਿਆਲ	冬季
ਸਦਾਮ ਹੁਸੈਨ	萨达姆·侯赛因
ਸਪੇਨੀ ਭਾਸ਼ਾ	西班牙语
ਮੋਂਤੇਵੀਦਿਓ	蒙得维的亚
ਯੋਹਾਨ ਸੇਬਾਸਤੀਅਨ ਬਾਖ਼	约翰·塞巴斯蒂安·巴赫
ਪਿਟਸਬਰਗ	匹兹堡
ਓਪੇਰਾ	歌剧
ਫ਼ਿਲਾਡੈਲਫ਼ੀਆ	費城
ਕੋਲਕਾਤਾ	加尔各答
ਚੇਨਈ	金奈
ਦਿੱਲੀ	德里
ਢਾਕਾ	达卡
ਬੰਗਲੌਰ	班加羅爾
ਪੱਛਮੀ ਬੰਗਾਲ	西孟加拉邦
ਮੱਕੜੀ	蜘蛛
ਆਰਥਰੋਪੋਡ	节肢动物
ਹੈਦਰਾਬਾਦ, ਭਾਰਤ	海得拉巴 (印度)
ਇਸਲਾਮਾਬਾਦ	伊斯兰堡
ਤ੍ਰਿਪੁਰਾ	特里普拉邦
ਫਲ	果实
ਮੁਦਰਾ	貨幣
ਵਰਜਿਨੀਆ	弗吉尼亚州
ਪੱਛਮੀ ਵਰਜਿਨੀਆ	西維吉尼亞州
ਹਿਊਰਾਨ ਝੀਲ	休伦湖
ਨਿਊ ਯਾਰਕ	纽约州
ਰੋਡ ਟਾਪੂ	羅德島州
ਮੈਰੀਲੈਂਡ	马里兰州
ਡੇਲਾਵੇਅਰ	特拉华州
ਵਲਾਦੀਮੀਰ ਲੈਨਿਨ	列宁
ਯੂਰਪੀਅਮ	铕
ਓਹਾਇਓ	俄亥俄州
ਵਰਜਿਲ	维吉尔
ਨਿਕੋਲੋ ਮੈਕਿਆਵੇਲੀ	尼可罗·马基亚维利
ਪੈੱਨਸਿਲਵੇਨੀਆ	宾夕法尼亚州
ਜਿਓਵਾਨੀ ਬੋਕਾਸੀਓ	乔万尼·薄伽丘
ਲੁਈਗੀ ਪਿਰਾਂਦੋਲੋ	路伊吉·皮兰德娄
ਆਗਸਟਸ ਕੈਸਰ	奥古斯都
ਨਿਊ ਜਰਸੀ	新泽西州
ਜਿਬਰਾਲਟਰ	直布罗陀
ਫ਼ਿਨੀ ਭਾਸ਼ਾ	芬兰语
ਇੰਡੀਆਨਾ	印第安纳州
ਨੋਕੀਆ	诺基亚
ਕਾਰ	汽车
ਜੁਵੇਂਟਸ ਫੁੱਟਬਾਲ ਕਲੱਬ	尤文图斯足球俱乐部
ਤਰਾਜਾਨ	圖拉真
ਰਾਜਰ ਫੈਡਰਰ	罗杰·费德勒
ਜਾਰਜੀਆ (ਅਮਰੀਕੀ ਰਾਜ)	喬治亞州
ਜ਼ਾਗਰਬ	萨格勒布
ਰਾਜਸਥਾਨ	拉贾斯坦邦
ਕਾਂਪਾਨੀਆ	坎帕尼亚
ਟੈਕਸਸ	德克萨斯州
ਤਾਮਿਲ ਨਾਡੂ	泰米尔纳德邦
ਪੂਲੀਆ	普利亚
ਬਾਜ਼ਿਲੀਕਾਤਾ	巴斯利卡塔
ਉੱਤਰੀ ਕੈਰੋਲੀਨਾ	北卡罗来纳州
ਦੱਖਣੀ ਕੈਰੋਲੀਨਾ	南卡罗来纳州
ਯੂ. ਸੀ. ਸੰਪਦੋਰੀਆ	桑普多利亚足球俱乐部
ਕਾਲਾਬਰੀਆ	卡拉布里亚
ਸਿਚੀਲੀਆ	西西里岛
ਮਨੀਲਾ	马尼拉
ਸਾਰਦੇਞਾ	撒丁岛
ਲੁਆਰ ਦਰਿਆ	卢瓦尔河
ਸੈਨ ਦਰਿਆ	塞纳河
ਬੋਰਦੋ	波尔多
ਬੁਏਨਸ ਆਇਰਸ	布宜諾斯艾利斯
ਮੈਕਸੀਕੋ ਸ਼ਹਿਰ	墨西哥城
ਟੋਕੀਓ	東京都
ਲਾ ਪਾਸ	拉巴斯
ਬਾਰਸੀਲੋਨਾ	巴塞罗那
ਮਿਸੀਸਿੱਪੀ	密西西比州
ਮਿੱਸੀਸਿੱਪੀ ਦਰਿਆ	密西西比河
ਉੱਤਰ ਪ੍ਰਦੇਸ਼	北方邦
ਉੱਤਰਾਖੰਡ	北阿坎德邦
ਮਿਜ਼ੋਰਮ	米佐拉姆邦
ਸਿੱਕਮ	锡金
ਟੈਨੇਸੀ	田纳西州
ਰਾਬਰਟ ਲੂਈ ਸਟੀਵਨਸਨ	羅伯特·路易斯·史蒂文森
ਨਾਗਪੁਰ	那格浦尔
ਅਬੀਜਾਨ	阿比让
ਅਬੂ ਧਾਬੀ	阿布扎比
ਅਸਤਾਨਾ	阿斯塔納
ਨਿਊ ਮੈਕਸੀਕੋ	新墨西哥州
ਐਥਨਜ਼	雅典
ਮਿਨੇਸੋਟਾ	明尼蘇達州
ਬਗ਼ਦਾਦ	巴格达
ਕਾਰਾਕਾਸ	卡拉卡斯
ਵਿਸਕਾਂਸਨ	威斯康辛州
ਪੁਣੇ	浦那
ਏ.ਸੀ. ਮਿਲਣ	AC米兰
ਆਇਓਵਾ	艾奥瓦州
ਨਬਰਾਸਕਾ	內布拉斯加州
ਗੁਆਤੇਮਾਲਾ ਸ਼ਹਿਰ	瓜地馬拉市
ਕਾਂਸਸ	堪薩斯州
ਹਵਾਨਾ	哈瓦那
ਹਿੰਦੀ ਭਾਸ਼ਾ	印地语
ਮਰਾਠੀ ਭਾਸ਼ਾ	马拉地语
ਗਣੇਸ਼	象头神
ਮਿਜ਼ੂਰੀ	密蘇里州
ਲੂਈਜ਼ੀਆਨਾ	路易斯安那州
ਲੂਗੀ ਗੇਲਵੈਨੀ	路易吉·伽伐尼
ਨਾਗਾਲੈਂਡ	那加兰邦
ਕਿੰਟਕੀ	肯塔基州
ਆਰਕੰਸਾ	阿肯色州
ਨੀਲ ਆਰਮਸਟਰਾਂਗ	尼尔·阿姆斯特朗
ਉਰਦੂ ਭਾਸ਼ਾ	乌尔都语
ਏਦੀਥ ਪੀਆਫ	艾迪特·皮雅芙
ਓਕਲਾਹੋਮਾ	奧克拉荷馬州
ਦਨੂਬ ਦਰਿਆ	多瑙河
ਰੂਆ ਦਰਿਆ	鲁尔河
ਉੱਤਰੀ ਸਮੁੰਦਰ	北海 (大西洋)
ਹੈਨੋਫ਼ਾ	汉诺威
ਮਿਊਨਿਖ	慕尼黑
ਵਾਲੀਬਾਲ	排球
ਵਿਆਨਾ	維也納
ਕੋਪਨਹੈਗਨ	哥本哈根
ਸਟਾਕਹੋਮ	斯德哥尔摩
ਹੈਲਸਿੰਕੀ	赫尔辛基
ਡਬਲਿਨ	都柏林
ਰੇਕੀਆਵਿਕ	雷克雅維克
ਤਾਲਿਨ	塔林
ਰੀਗਾ	里加
ਲੁਈਸ ਆਰਮਸਟਰਾਂਗ	路易斯·阿姆斯特朗
ਬ੍ਰਾਤਿਸਲਾਵਾ	布拉迪斯拉发
ਬੁਦਾਪੈਸਤ	布达佩斯
ਫ਼ਰਾਂਕਫ਼ੁਰਟ	美茵河畔法蘭克福
ਲਕਸਮਬਰਗ (ਸ਼ਹਿਰ)	盧森堡市
ਫ਼ਾਦੁਤਸ	瓦都茲
ਬਾਈਬਲ	聖經
ਪਨਾਮ ਪੈਨ	金边
ਹੋ ਚੀ ਮਿਨ ਸ਼ਹਿਰ	胡志明市
ਇਟਰੀਅਮ	镱
ਲੁਟੀਸ਼ੀਅਮ	镥
ਹਨੋਈ	河內市
ਟਰੂ ਜੀਸਸ ਚਰਚ	真耶稣教会
ਅੰਗਰੇਜ਼ੀ ਭਾਸ਼ਾ	英语
ਬੈਂਕਾਕ	曼谷
ਅੰਡੋਰਾ ਲਾ ਵੇਲਾ	安道尔城
ਕੁਆਲਾ ਲੁੰਪੁਰ	吉隆坡
ਤਾਈਪੇ	臺北市
ਕਾਂਸੇਪਸਿਉਂ	康塞普西翁 (智利)
ਬਰਕੀਲੀਅਮ	锫
ਕੀਵ	基輔
ਓਂਟਾਰੀਓ	安大略
ਓਲਿਵਰ ਗਿਰੌਦ	奥利弗·吉鲁
ਓਟਾਵਾ	渥太華
ਜੂਬਾ	朱巴
ਮਾਨੀਟੋਬਾ	曼尼托巴
ਐਲਬਰਟਾ	艾伯塔
ਨੋਵਾ ਸਕੋਸ਼ਾ	新斯科舍
ਯੇਰਵਾਨ	葉里溫
ਕਞ੍ਸ੍ਕਵਲਾ	孔斯科沃拉
ਦਾਰ ਅਸ ਸਲਾਮ	达累斯萨拉姆
ਖ਼ਰਤੂਮ	喀土穆
ਨਿਊ ਬਰੰਸਵਿਕ	新不倫瑞克
ਫ਼ਾਰਮੂਲਾ ਵਨ	一级方程式赛车
ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ	不列颠哥伦比亚
ਪ੍ਰਿੰਸ ਐਡਵਰਡ ਟਾਪੂ	愛德華王子島
ਜੈਰਲੌਂ ਸਟੇਡੀਅਮ	熱爾蘭球場
2000	2000年
2003	2003年
੨੦੦੨	2002年
2001	2001年
ਸਸਕਾਚਵਾਨ	薩斯喀徹溫
੨੦੧੨	2012年
੨੦੧੧	2011年
੨੦੧੦	2010年
੨੦੦੯	2009年
ਕਾਰਬਨ ਡਾਈਆਕਸਾਈਡ	二氧化碳
੨੦੧੫	2015年
ਨਿਊਫ਼ੰਡਲੈਂਡ ਅਤੇ ਲਾਬਰਾਡੋਰ	紐芬蘭與拉布拉多
੨੦੦੮	2008年
ਉੱਤਰ-ਪੱਛਮੀ ਰਾਜਖੇਤਰ	西北地区 (加拿大)
ਯੂਕੋਨ	育空
੨੦੦੪	2004年
੨੦੦੫	2005年
੨੦੦੬	2006年
ਨੂਨਾਵੁਤ	努納武特
੨੦੦੭	2007年
੧੯੦੦	1900年
੧੯੦੧	1901年
੧੯੦੨	1902年
੧੯੦੩	1903年
੧੯੦੪	1904年
1905	1905年
1907	1907年
੧੯੦੬	1906年
ਏਸੀਐਫ ਫਿਓਰੇਂਟੀਨਾ	佛罗伦萨足球俱乐部
1908	1908年
੧੯੦੯	1909年
1992	1992年
੧੯੯੧	1991年
1990	1990年
੧੯੯੩	1993年
ਐੱਸਨ	埃森
1994	1994年
੧੯੯੫	1995年
1996	1996年
ਜੇਨੋਵਾ ਸੀ. ਐੱਫ਼. ਸੀ.	热那亚板球与足球俱乐部
1910	1910年
1911	1911年
1912	1912年
ਲਾਈਪਸਿਸ਼	莱比锡
੧੯੧੩	1913年
੧੯੧੪	1914年
1915	1915年
੧੯੧੬	1916年
੧੯੯੭	1997年
1998	1998年
੧੯੯੯	1999年
1917	1917年
੧੯੧੮	1918年
ਭੋਜਨ	食物
ਐਡਮੰਟਨ	埃德蒙顿
ਸੱਪ	蛇
ਰਿਜਾਇਨਾ	里贾纳
ਸ਼ਾਰਲਟਟਾਊਨ	夏洛特顿
ਵਿਕਟੋਰੀਆ, ਬ੍ਰਿਟਿਸ਼ ਕੋਲੰਬੀਆ	維多利亞 (卑詩)
ਵਿਨੀਪੈਗ	温尼伯
ਹੈਲੀਫ਼ੈਕਸ, ਨੋਵਾ ਸਕੋਸ਼ਾ	哈利法克斯
ਕੇਬੈਕ ਸ਼ਹਿਰ	魁北克市
੧ ਜਨਵਰੀ	1月1日
੨ ਜਨਵਰੀ	1月2日
ਸੁਭਾਸ਼ ਚੰਦਰ ਬੋਸ	苏巴斯·钱德拉·鲍斯
੧੯੨੦	1920年
3 ਜਨਵਰੀ	1月3日
1919	1919年
੧੯੨੧	1921年
1922	1922年
੪ ਜਨਵਰੀ	1月4日
1923	1923年
1924	1924年
ਲੈਨਿਨਗ੍ਰਾਦ ਓਬਲਾਸਤ	列宁格勒州
5 ਜਨਵਰੀ	1月5日
ਆਰੀਕਾ	阿里卡
੬ ਜਨਵਰੀ	1月6日
ਬਿਜਲਾਣੂ	电子
7 ਜਨਵਰੀ	1月7日
੮ ਜਨਵਰੀ	1月8日
੯ ਜਨਵਰੀ	1月9日
੧੦ ਜਨਵਰੀ	1月10日
੧੧ ਜਨਵਰੀ	1月11日
12 ਜਨਵਰੀ	1月12日
੧੩ ਜਨਵਰੀ	1月13日
ਬਰਮਿੰਘਮ	伯明翰
੧੪ ਜਨਵਰੀ	1月14日
15 ਜਨਵਰੀ	1月15日
16 ਜਨਵਰੀ	1月16日
17 ਜਨਵਰੀ	1月17日
18 ਜਨਵਰੀ	1月18日
੧੯ ਜਨਵਰੀ	1月19日
੨੦ ਜਨਵਰੀ	1月20日
ਸਨਅਤੀ ਇਨਕਲਾਬ	工业革命
ਬੈਨਜ਼ੀਨ	苯
21 ਜਨਵਰੀ	1月21日
੨੨ ਜਨਵਰੀ	1月22日
੨੩ ਜਨਵਰੀ	1月23日
ਰੋਮਨ ਸਮਰਾਜ	羅馬帝國
੨੪ ਜਨਵਰੀ	1月24日
25 ਜਨਵਰੀ	1月25日
ਮਿੰਸਕ	明斯克
26 ਜਨਵਰੀ	1月26日
੨੭ ਜਨਵਰੀ	1月27日
੨੮ ਜਨਵਰੀ	1月28日
੨੯ ਜਨਵਰੀ	1月29日
੩੦ ਜਨਵਰੀ	1月30日
੩੧ ਜਨਵਰੀ	1月31日
ਪ੍ਰੋਟਾਨ	質子
2 ਦਸੰਬਰ	12月2日
੧ ਦਸੰਬਰ	12月1日
੩ ਦਸੰਬਰ	12月3日
੭ ਦਸੰਬਰ	12月7日
5 ਦਸੰਬਰ	12月5日
8 ਦਸੰਬਰ	12月8日
੧੦ ਦਸੰਬਰ	12月10日
6 ਦਸੰਬਰ	12月6日
੯ ਦਸੰਬਰ	12月9日
੪ ਦਸੰਬਰ	12月4日
੧ ਫ਼ਰਵਰੀ	2月1日
੨ ਫ਼ਰਵਰੀ	2月2日
੩ ਫ਼ਰਵਰੀ	2月3日
ਕੂਰੋਫ	库鲁夫
੪ ਫ਼ਰਵਰੀ	2月4日
੫ ਫ਼ਰਵਰੀ	2月5日
6 ਫ਼ਰਵਰੀ	2月6日
7 ਫ਼ਰਵਰੀ	2月7日
8 ਫ਼ਰਵਰੀ	2月8日
੯ ਫ਼ਰਵਰੀ	2月9日
੧੦ ਫ਼ਰਵਰੀ	2月10日
ਰਸਾਇਣ ਵਿਗਿਆਨ	化學
14 ਫ਼ਰਵਰੀ	2月14日
13 ਫ਼ਰਵਰੀ	2月13日
੧੫ ਫ਼ਰਵਰੀ	2月15日
11 ਫ਼ਰਵਰੀ	2月11日
12 ਫ਼ਰਵਰੀ	2月12日
ਰੋਬਿਨ ਵੈਨ ਪਰਸੀ	罗宾·范佩西
੧੯ ਫ਼ਰਵਰੀ	2月19日
੧੭ ਫ਼ਰਵਰੀ	2月17日
੧੬ ਫ਼ਰਵਰੀ	2月16日
18 ਫ਼ਰਵਰੀ	2月18日
੨੦ ਫ਼ਰਵਰੀ	2月20日
ਅਬਿਜਲਕਣ	中子
੨੧ ਫ਼ਰਵਰੀ	2月21日
੨੨ ਫ਼ਰਵਰੀ	2月22日
੨੩ ਫ਼ਰਵਰੀ	2月23日
੨੪ ਫ਼ਰਵਰੀ	2月24日
25 ਫ਼ਰਵਰੀ	2月25日
੨੬ ਫ਼ਰਵਰੀ	2月26日
੨੭ ਫ਼ਰਵਰੀ	2月27日
੨੮ ਫ਼ਰਵਰੀ	2月28日
੧੧ ਦਸੰਬਰ	12月11日
੨੯ ਫ਼ਰਵਰੀ	2月29日
੧੨ ਦਸੰਬਰ	12月12日
੧੩ ਦਸੰਬਰ	12月13日
14 ਦਸੰਬਰ	12月14日
੧੫ ਦਸੰਬਰ	12月15日
2 ਮਾਰਚ	3月2日
3 ਮਾਰਚ	3月3日
5 ਮਾਰਚ	3月5日
1 ਮਾਰਚ	3月1日
7 ਮਾਰਚ	3月7日
੮ ਮਾਰਚ	3月8日
4 ਮਾਰਚ	3月4日
੧੦ ਮਾਰਚ	3月10日
੧੧ ਮਾਰਚ	3月11日
6 ਮਾਰਚ	3月6日
੧੩ ਮਾਰਚ	3月13日
9 ਮਾਰਚ	3月9日
੧੨ ਮਾਰਚ	3月12日
੧੫ ਮਾਰਚ	3月15日
੧੪ ਮਾਰਚ	3月14日
ਸੀ++	C++
ਲੂਣ ਦਾ ਤਿਜ਼ਾਬ	盐酸
੧੬ ਦਸੰਬਰ	12月16日
੧੭ ਦਸੰਬਰ	12月17日
16 ਮਾਰਚ	3月16日
੧੭ ਮਾਰਚ	3月17日
੧੮ ਮਾਰਚ	3月18日
੧੯ ਮਾਰਚ	3月19日
1989	1989年
1988	1988年
੨੦ ਮਾਰਚ	3月20日
੧੯੮੭	1987年
੧੯੮੬	1986年
੧੯੮੫	1985年
1984	1984年
੨੧ ਮਾਰਚ	3月21日
੧੯੮੩	1983年
੨੨ ਮਾਰਚ	3月22日
1982	1982年
੧੯੮੧	1981年
੧੮ ਦਸੰਬਰ	12月18日
੧੯੮੦	1980年
੨੩ ਮਾਰਚ	3月23日
ਮਕਦੀਸ਼ੂ	摩加迪休
19 ਦਸੰਬਰ	12月19日
੨੪ ਮਾਰਚ	3月24日
੨੫ ਮਾਰਚ	3月25日
੨੦ ਦਸੰਬਰ	12月20日
੨੬ ਮਾਰਚ	3月26日
੨੭ ਮਾਰਚ	3月27日
੨੮ ਮਾਰਚ	3月28日
੨੯ ਮਾਰਚ	3月29日
੩੦ ਮਾਰਚ	3月30日
੩੧ ਮਾਰਚ	3月31日
ਨਸਾਊ	拿骚 (巴哈马)
ਸਨਾ	萨那
੧੯੭੦	1970年
1971	1971年
1972	1972年
1973	1973年
1974	1974年
1975	1975年
1976	1976年
੧੯੭੭	1977年
੧੯੭੮	1978年
੧੯੭੯	1979年
੧੯੬੯	1969年
ਤੀਹ-ਸਾਲਾ ਜੰਗ	三十年戰爭
ਸਰਪਿਲ ਆਕਾਸ਼ਗੰਗਾ	螺旋星系
15 ਅਪਰੈਲ	4月15日
੧੩ ਅਪ੍ਰੈਲ	4月13日
12 ਅਪ੍ਰੈਲ	4月12日
14 ਅਪ੍ਰੈਲ	4月14日
11 ਅਪ੍ਰੈਲ	4月11日
੧੦ ਅਪ੍ਰੈਲ	4月10日
੮ ਅਪਰੈਲ	4月8日
9 ਅਪ੍ਰੈਲ	4月9日
੭ ਅਪ੍ਰੈਲ	4月7日
੬ ਅਪ੍ਰੈਲ	4月6日
੫ ਅਪ੍ਰੈਲ	4月5日
4 ਅਪ੍ਰੈਲ	4月4日
੩ ਅਪ੍ਰੈਲ	4月3日
1 ਅਪ੍ਰੈਲ	4月1日
੨ ਅਪ੍ਰੈਲ	4月2日
16 ਅਪ੍ਰੈਲ	4月16日
17 ਅਪ੍ਰੈਲ	4月17日
18 ਅਪ੍ਰੈਲ	4月18日
19 ਅਪ੍ਰੈਲ	4月19日
20 ਅਪ੍ਰੈਲ	4月20日
੨੧ ਅਪ੍ਰੈਲ	4月21日
੨੨ ਅਪ੍ਰੈਲ	4月22日
੨੩ ਅਪ੍ਰੈਲ	4月23日
੨੪ ਅਪ੍ਰੈਲ	4月24日
25 ਅਪ੍ਰੈਲ	4月25日
੨੬ ਅਪ੍ਰੈਲ	4月26日
੨੭ ਅਪ੍ਰੈਲ	4月27日
28 ਅਪ੍ਰੈਲ	4月28日
29 ਅਪਰੈਲ	4月29日
੩੦ ਅਪ੍ਰੈਲ	4月30日
ਕੁਦਰਤੀ ਉਪਗ੍ਰਹਿ	衛星
1 ਮਈ	5月1日
੨ ਮਈ	5月2日
3 ਮਈ	5月3日
4 ਮਈ	5月4日
5 ਮਈ	5月5日
6 ਮਈ	5月6日
੭ ਮਈ	5月7日
੮ ਮਈ	5月8日
9 ਮਈ	5月9日
10 ਮਈ	5月10日
11 ਮਈ	5月11日
12 ਮਈ	5月12日
੧੩ ਮਈ	5月13日
14 ਮਈ	5月14日
੧੫ ਮਈ	5月15日
੧੬ ਮਈ	5月16日
੧੭ ਮਈ	5月17日
੧੮ ਮਈ	5月18日
੧੯ ਮਈ	5月19日
੨੦ ਮਈ	5月20日
੨੧ ਮਈ	5月21日
੨੨ ਮਈ	5月22日
੨੩ ਮਈ	5月23日
੨੪ ਮਈ	5月24日
25 ਮਈ	5月25日
26 ਮਈ	5月26日
੨੭ ਮਈ	5月27日
28 ਮਈ	5月28日
੨੯ ਮਈ	5月29日
੩੦ ਮਈ	5月30日
31 ਮਈ	5月31日
੨੧ ਦਸੰਬਰ	12月21日
ਐੱਸ. ਐੱਸ. ਲੇਜ਼ੀਓ	拉齐奥足球俱乐部
੧੪ ਜੂਨ	6月14日
੧੫ ਜੂਨ	6月15日
13 ਜੂਨ	6月13日
੧੦ ਜੂਨ	6月10日
7 ਜੂਨ	6月7日
11 ਜੂਨ	6月11日
9 ਜੂਨ	6月9日
12 ਜੂਨ	6月12日
੬ ਜੂਨ	6月6日
8 ਜੂਨ	6月8日
੫ ਜੂਨ	6月5日
੩ ਜੂਨ	6月3日
2 ਜੂਨ	6月2日
1 ਜੂਨ	6月1日
4 ਜੂਨ	6月4日
੨੨ ਦਸੰਬਰ	12月22日
