আফ্রিকা	非洲
ওসামা বিন লাদেন	奥萨马·本·拉登
স্পেনীয় ভাষা	西班牙语
ফ্রিড‌রিশ ফন হায়ক	弗里德里希·哈耶克
মোন্তেবিদেও	蒙得维的亚
ইয়োহান জেবাস্টিয়ান বাখ	约翰·塞巴斯蒂安·巴赫
অপেরা	歌剧
ফিলাডেলফিয়া	費城
কলকাতা	加尔各答
চেন্নাই	金奈
দিল্লি	德里
ঢাকা	达卡
বেঙ্গালুরু	班加羅爾
পশ্চিমবঙ্গ	西孟加拉邦
মাকড়শা	蜘蛛
আর্থ্রোপোড	节肢动物
হায়দ্রাবাদ, ভারত	海得拉巴 (印度)
ইসলামাবাদ	伊斯兰堡
ত্রিপুরা	特里普拉邦
ফল	果实
বানর	猴
অর্থ (টাকা)	貨幣
ভার্জিনিয়া	弗吉尼亚州
পশ্চিম ভার্জিনিয়া	西維吉尼亞州
ম্যাটারহর্ন	馬特洪峰
নিউ ইয়র্ক	纽约州
সিরিয়াম	铈
প্রাসিওডিমিয়াম	镨
রোড আইল্যান্ড	羅德島州
নিওডিমিয়াম	钕
কীট	昆虫
মেরিল্যান্ড	马里兰州
ডেলাওয়্যার	特拉华州
ভ্লাদিমির লেনিন	列宁
ইউরোপিয়াম	铕
ওহাইও	俄亥俄州
ভের্গিল	维吉尔
নিক্কোলো মাকিয়াভেল্লি	尼可罗·马基亚维利
পেন্সিল্‌ভেনিয়া	宾夕法尼亚州
ফ্রাঞ্চেসকো পেত্রারক	弗朗切斯科·彼特拉克
জিওভান্নি বোক্কাচ্চো	乔万尼·薄伽丘
উটার্সেন	于特森
আউগুস্তুস	奥古斯都
মাইক্রোসফট উইন্ডোজ	Microsoft Windows
নিউ জার্সি	新泽西州
জিব্রাল্টার	直布罗陀
ফিনীয় ভাষা	芬兰语
নিরো	尼禄
ইন্ডিয়ানা	印第安纳州
নোকিয়া	诺基亚
গাড়ি	汽车
জুভেন্টাস ফুটবল ক্লাব	尤文图斯足球俱乐部
রজার ফেদেরার	罗杰·费德勒
হাদ্রিয়ান	哈德良
জর্জিয়া (অঙ্গরাজ্য)	喬治亞州
কেডিই	KDE
জাগরেব	萨格勒布
রাজস্থান	拉贾斯坦邦
কাম্পানিয়া	坎帕尼亚
টেক্সাস	德克萨斯州
তামিলনাড়ু	泰米尔纳德邦
নর্থ ক্যারোলাইনা	北卡罗来纳州
ফিল্ড হকি	曲棍球
সাউথ ক্যারোলাইনা	南卡罗来纳州
সিসিলি দ্বীপপুঞ্জ	西西里岛
ম্যানিলা	马尼拉
তৃতীয় বেনিগনো অ্যাকুইনো	諾諾·艾奎諾
লোয়ার নদী	卢瓦尔河
এম. সি. এশ্যর	莫里茨·科内利斯·埃舍尔
সেন নদী	塞纳河
কেসোন	奎松市
ল্য মঁস	勒芒
কোরাজন অ্যাকুইনো	柯拉蓉·艾奎諾
বুয়েনোস আইরেস	布宜諾斯艾利斯
মেক্সিকো সিটি	墨西哥城
টোকিও	東京都
বার্সেলোনা	巴塞罗那
আনারস	菠蘿
মিসিসিপি (অঙ্গরাজ্য)	密西西比州
ফার্ডিনান্ড ম্যাগেলান	斐迪南·麥哲倫
মিসিসিপি নদী	密西西比河
উত্তরপ্রদেশ	北方邦
উত্তরাখণ্ড	北阿坎德邦
মিজোরাম	米佐拉姆邦
সিক্কিম	锡金
পাতাগোনিয়া	巴塔哥尼亞
টেনেসী	田纳西州
রিশার্ড ভাগনার	理查德·瓦格纳
রবার্ট লুইস স্টিভেন্সন	羅伯特·路易斯·史蒂文森
নাগপুর	那格浦尔
আবিজান	阿比让
আবুধাবি	阿布扎比
আস্তানা	阿斯塔納
নিউ মেক্সিকো	新墨西哥州
অ্যাথেন্স	雅典
মিনেসোটা	明尼蘇達州
বাগদাদ	巴格达
কারাকাস	卡拉卡斯
স্থানাংকিত আন্তর্জাতিক সময়	协调世界时
উইসকনসিন	威斯康辛州
পুনে	浦那
সিসারো	西塞罗
এসি মিলান	AC米兰
আইওয়া	艾奥瓦州
লিয়োঁ মেট্রো	里昂地铁
নেব্রাস্কা	內布拉斯加州
গুয়াতেমালা সিটি	瓜地馬拉市
ক্যানসাস	堪薩斯州
হাভানা	哈瓦那
হিন্দি ভাষা	印地语
মারাঠি ভাষা	马拉地语
ইন্টারনেট এক্সপ্লোরার	Internet Explorer
সিগারেট	香煙
গণেশ	象头神
মিসৌরি	密蘇里州
জর্জ সায়মন ও'ম	格奥尔格·欧姆
লুইজিয়ানা	路易斯安那州
নাগাল্যান্ড	那加兰邦
কেন্টাকি	肯塔基州
আর্কানসাস	阿肯色州
নিল আর্মস্ট্রং	尼尔·阿姆斯特朗
উর্দু ভাষা	乌尔都语
চার্লস লিন্ডবার্গ	查爾斯·林德伯格
ওক‌লাহোমা	奧克拉荷馬州
দানিউব নদী	多瑙河
উত্তর সাগর	北海 (大西洋)
কিল	基尔
হানোফার	汉诺威
মিউনিখ	慕尼黑
ভলিবল	排球
ইন্সব্রুক	因斯布鲁克
ভিয়েনা	維也納
র‌্যনদ ল্যাভিলেনি	雷诺·拉维勒尼
ম্যাডোনা	麥當娜
কোপেনহেগেন	哥本哈根
স্টকহোম	斯德哥尔摩
হেলসিঙ্কি	赫尔辛基
ডাবলিন	都柏林
রেইকিয়াভিক	雷克雅維克
তাল্লিন	塔林
রিগা	里加
লুইস আর্মস্ট্রং	路易斯·阿姆斯特朗
ব্রাতিস্লাভা	布拉迪斯拉发
বুদাপেস্ট	布达佩斯
অ্যাশটন ইটন	阿什顿·伊顿
ফ্রাঙ্কফুর্ট	美茵河畔法蘭克福
কোচি	柯枝
ল্যান্থানাম	镧
প্রমিথিয়াম	钷
জ্যোতির্বিদ্যা-একক	天文單位
সামারিয়াম	钐
গ্যাডোলিনিয়াম	钆
ডেথ নোট	死亡笔记
জিনেদিন জিদান	齐内丁·齐达内
টারবিয়াম	铽
লুক্সেমবুর্গ (শহর)	盧森堡市
ডিসপ্রোসিয়াম	镝
ফাডুৎস	瓦都茲
বাইবেল	聖經
হলমিয়াম	钬
এরবিয়াম	铒
প্‌নম পেন	金边
এক্স-রশ্মি জ্যোতির্বিজ্ঞান	X射线天文学
থুলিয়াম	铥
হো চি মিন সিটি	胡志明市
ইটারবিয়াম	镱
লুটেসিয়াম	镥
হ্যানয়	河內市
সত্য যীশু গীর্জা	真耶稣教会
ইংরেজি ভাষা	英语
ব্যাংকক	曼谷
আন্দরা লা ভেলিয়া	安道尔城
কুয়ালালামপুর	吉隆坡
তাইপে	臺北市
অ্যামেরিসিয়াম	镅
কুরিয়াম	锔
বার্কেলিয়াম	锫
ক্যালিফোর্নিয়াম	锎
কূটনীতি	外交
আইনস্টাইনিয়াম	锿
ফার্মিয়াম	镄
মেন্ডেলেভিয়াম	钔
কিয়েভ	基輔
নোবেলিয়াম	锘
অন্টারিও	安大略
লরেনসিয়াম	鐒
করিম বেনজেমা	卡里姆·本泽马
প্যাট্রিস এভরা	帕特里斯·埃夫拉
ফ্রাঙ্ক রিবেরি	弗兰克·里贝里
সামির নাসরি	萨米尔·纳斯里
গেল ক্লিশি	盖尔·克利希
অটোয়া	渥太華
উইলিয়াম গালাস্‌	威廉·加拉斯
বেকারি স্যানিয়া	巴卡雷·萨尼亚
আবু দিয়াবি	阿布·迪亚比
জুবা	朱巴
ইয়েরেভান	葉里溫
কনিয়স্কভলা	孔斯科沃拉
ফর্মুলা ওয়ান	一级方程式赛车
২০০০	2000年
২০০৩	2003年
২০০২	2002年
২০০১	2001年
২০১২	2012年
২০১১	2011年
২০১০	2010年
২০০৯	2009年
কার্বন ডাই অক্সাইড	二氧化碳
২০১৩	2013年
২০১৪	2014年
২০১৫	2015年
২০০৮	2008年
জাভাস্ক্রিপ্ট	JavaScript
২০০৪	2004年
উইকিট্রাভেল	维客旅行
২০০৫	2005年
ড্রাগন বল	七龙珠
২০০৬	2006年
২০০৭	2007年
কার্বন মনোক্সাইড	一氧化碳
লিনাক্স মিন্ট	Linux Mint
১৯০০	1900年
১৯০১	1901年
চার্লস দ্য গল	夏爾·戴高樂
১৯০২	1902年
ফ্লোরেন্স	佛罗伦萨
১৯০৩	1903年
১৯০৪	1904年
১৯০৫	1905年
১৯০৭	1907年
১৯০৬	1906年
এইচটিএমএল ৫	HTML5
১৯০৮	1908年
১৯০৯	1909年
১৯৯২	1992年
১৯৯১	1991年
১৯৯০	1990年
১৯৯৩	1993年
এসেন	埃森
১৯৯৪	1994年
১৯৯৫	1995年
১৯৯৬	1996年
ডেভিড লিঞ্চ	大卫·林奇
১৯১০	1910年
১৯১১	1911年
১৯১২	1912年
লাইপ্‌ৎসিশ	莱比锡
১৯১৩	1913年
১৯১৪	1914年
১৯১৫	1915年
১৯১৬	1916年
১৯৯৭	1997年
১৯৯৮	1998年
১৯৯৯	1999年
১৯১৭	1917年
১৯১৮	1918年
খাদ্য	食物
সাপ	蛇
জাক শিরাক	雅克·希拉克
আলোর গতিবেগ	光速
এক্সটেনসিভ মার্কআপ ল্যাংগুয়েজ	XML
নিউট্রিনো	中微子
ইউটিসি−১২:০০	UTC-12
জানুয়ারি ১	1月1日
জানুয়ারি ২	1月2日
সুভাষচন্দ্র বসু	苏巴斯·钱德拉·鲍斯
ইউটিসি−১১:০০	UTC-11
১৯২০	1920年
জানুয়ারি ৩	1月3日
১৯১৯	1919年
ইউটিসি−১০:৩০	UTC-10:30
কর্নেলিয়ুস তাকিতুস	塔西陀
১৯২১	1921年
ইউটিসি−১০:০০	UTC-10
১৯২২	1922年
জানুয়ারি ৪	1月4日
১৯২৩	1923年
ইউটিসি−০৯:৩০	UTC-9:30
ল্যান্স আর্মস্ট্রং	兰斯·阿姆斯特朗
১৯২৪	1924年
ইউটিসি−০৯:০০	UTC-9
রাশিয়ান এসএফএসআর	俄罗斯苏维埃联邦社会主义共和国
জেপিইজি	JPEG
ইউটিসি−০৮:৩০	UTC-8:30
বামন গ্রহ	矮行星
জানুয়ারি ৫	1月5日
ইউটিসি−০৮:০০	UTC-8
জানুয়ারি ৬	1月6日
আঙ্কল টমস্‌ কেবিন	汤姆叔叔的小屋
ইলেকট্রন	电子
জানুয়ারি ৭	1月7日
জানুয়ারি ৮	1月8日
জানুয়ারি ৯	1月9日
জানুয়ারি ১০	1月10日
