आफ्रिकाखण्डः	非洲
१७३०	1730年
१८१७	1817年
१६५२	1652年
१७३१	1731年
१८१८	1818年
१६५३	1653年
१७३२	1732年
१८१९	1819年
१६५४	1654年
१७३३	1733年
१८२०	1820年
१६५५	1655年
१८२१	1821年
१७३४	1734年
१६५६	1656年
१८२२	1822年
१७३५	1735年
१६५७	1657年
१८२३	1823年
१७३६	1736年
१६५८	1658年
१७३७	1737年
१८२४	1824年
१६५९	1659年
१७३८	1738年
१८२५	1825年
१६६०	1660年
१७३९	1739年
१८२६	1826年
१६६१	1661年
१७४०	1740年
१८२७	1827年
कालिदासः	迦梨陀娑
नील्स बोह्र	尼尔斯·玻尔
परिसरविज्ञानम्	生态学
राजनीतिः	政治
प्रजातन्त्रम्	民主
विश्व रेड्क्रास दिनम्	国际红十字与红新月运动
मेरी क्यूरी	玛丽·居里
नोबेल् प्रशस्तिः	诺贝尔奖
एलिजबेथ् प्रथमा	伊丽莎白一世 (英格兰)
रोजा लक्जेम्बर्ग	羅莎·盧森堡
रवीन्द्रनाथ ठाकुरः	罗宾德拉纳特·泰戈尔
एलेन ट्यूरिंग	艾伦·图灵
बाड्मिण्टन्-क्रीडा	羽毛球
गुस्तावः मालेरः	古斯塔夫·馬勒
नात्सी पार्टी	纳粹党
सिन्धूनदी	印度河
दक्षिणध्रुवीयमहासागरः	南冰洋
हुआंग हे नदी	黄河
कर्णः	耳
नासिका	鼻
अक्षि	眼
एल्फ़्रेड हिचकॉक	亞弗列·希治閣
सस्तनः	哺乳动物
गजः	象
आण्ड्रे अगास्सि	安德烈·阿加西
डच भाषा	荷蘭語
मार्गरेट थाचर	玛格丽特·撒切尔
डारोति क्रोफट् हाज्किन्	多萝西·霍奇金
पुष्पशाकम्	花椰菜
वृन्ताकः	茄
इंगमार बर्गमान	英格玛·伯格曼
माता	母親
१८२८	1828年
१८२९	1829年
१७४१	1741年
१६६२	1662年
१७४२	1742年
१८३०	1830年
१६६३	1663年
१८३१	1831年
१७४३	1743年
१६६४	1664年
१६६५	1665年
१७४४	1744年
१८३२	1832年
१६६६	1666年
१७४५	1745年
१८३३	1833年
१६६७	1667年
१७४६	1746年
परिवहनम्	运输
१८३४	1834年
१६६८	1668年
१७४७	1747年
१८३५	1835年
१७४८	1748年
१८३६	1836年
१६६९	1669年
लियोनार्ड ओइलर	萊昂哈德·歐拉
१६७०	1670年
१७४९	1749年
१८३७	1837年
१६७१	1671年
१७५०	1750年
१८३८	1838年
१६७२	1672年
१७५१	1751年
१८३९	1839年
१६७३	1673年
१७५२	1752年
१८४०	1840年
१६७४	1674年
१७५३	1753年
१८४१	1841年
१७५४	1754年
१६७५	1675年
१८४२	1842年
१७५५	1755年
१६७६	1676年
१६७७	1677年
१७५६	1756年
१८४४	1844年
१६७८	1678年
१७५७	1757年
१६७९	1679年
१७५८	1758年
१८४६	1846年
१६८०	1680年
१७५९	1759年
१८४७	1847年
१६८१	1681年
१७६०	1760年
१८४८	1848年
१६८२	1682年
१७६१	1761年
१८४९	1849年
१६८३	1683年
१७६२	1762年
१८५०	1850年
१६८४	1684年
१७६३	1763年
१८५१	1851年
१७६४	1764年
१६८५	1685年
१८५२	1852年
१६८६	1686年
१७६५	1765年
१८५३	1853年
१६८७	1687年
१७६६	1766年
१८५४	1854年
१६८८	1688年
१७६७	1767年
१८५५	1855年
१६८९	1689年
१७६८	1768年
१८५६	1856年
१६९०	1690年
१७६९	1769年
१६९१	1691年
१७७०	1770年
१८५८	1858年
१६९२	1692年
१७७१	1771年
१८५९	1859年
१६९३	1693年
१७७२	1772年
१८६०	1860年
१७७३	1773年
१८६१	1861年
१६९४	1694年
१६९५	1695年
१७७४	1774年
१८६२	1862年
१६९६	1696年
१७७५	1775年
१८६३	1863年
१६९७	1697年
१७७६	1776年
१८६४	1864年
१६९८	1698年
१८६५	1865年
१७७७	1777年
१६९९	1699年
१८६६	1866年
१७७८	1778年
१७७९	1779年
१८६७	1867年
१७८०	1780年
१८६८	1868年
१७८१	1781年
१८६९	1869年
जलकूर्दनक्रीडा	跳水
रूसी भाषा	俄语
१७८२	1782年
१८७०	1870年
१७८३	1783年
१८७१	1871年
व्लाडिमिर पुटिन	弗拉基米尔·弗拉基米罗维奇·普京
१७८४	1784年
१८७२	1872年
१७८५	1785年
१८७३	1873年
१७८६	1786年
१८७४	1874年
१७८७	1787年
१८७५	1875年
१७८८	1788年
१८७६	1876年
१७८९	1789年
१८७७	1877年
१७९०	1790年
१८७८	1878年
१८७९	1879年
१७९१	1791年
रोटी	麵包
१७९२	1792年
१८८०	1880年
१७९३	1793年
१८८१	1881年
विश्व संस्थानस्य शैक्षणिक, वैज्ञानिक, सांस्कृतिक संस्थानम्	联合国教科文组织
होमर सिम्प्सन	霍默·辛普森
१७९४	1794年
१८८२	1882年
१७९५	1795年
१८८३	1883年
१७९६	1796年
१८८४	1884年
१७९७	1797年
१८८५	1885年
१८८६	1886年
१७९८	1798年
१८८७	1887年
१७९९	1799年
मार्ज सिम्प्सन	玛琦·辛普森
१८८८	1888年
१८८९	1889年
१८९०	1890年
म्यागी सिम्प्सन	玛吉·辛普森
१८९१	1891年
१८९२	1892年
१८९३	1893年
१८९४	1894年
१८९५	1895年
१८९६	1896年
१८९७	1897年
१८९८	1898年
चीनी भाषा	汉语
१८९९	1899年
रक्तम्	血液
अस्थिपञ्जरः	骨骼系統
फुफ्फुसः	肺
हिमप्रपात	雪崩
भूकम्पः	地震
खानिजः	礦物
सत्यम्	真理
मूषकम्	鼠标
प्राकृतिकविज्ञानम्	自然科学
सेर्गे आइसेन्स्टाइन	谢尔盖·米哈依洛维奇·爱森斯坦
अकिरा कुरोसावा	黑澤明
फ़्राँक्लिन रुज़वेल्ट	富兰克林·德拉诺·罗斯福
अविसेन्न	伊本·西那
विन्स्टन चर्चिल	温斯顿·丘吉尔
नेल्सन् मण्डेला	纳尔逊·曼德拉
मार्टिन् लूथर् किङ्ग् (ज्यू)	马丁·路德·金
प्राकृतिकी आपद्	自然灾害
प्लावनम्	洪灾
सुनामी	海啸
अग्निपर्वतः	火山
चक्रवातः	龍捲風
व्याकरणम्	语法
प्रभञ्जन	熱帶氣旋
तेलुगु	泰卢固语
वायुमण्डलम्	大气层
अर्थशास्त्रम् (ग्रन्थः)	经济学
भाषाविज्ञानम्	语言学
लिपयः	文字
साक्षरता	識字
विराटनगर	比拉德訥格爾
वर्गः:साहित्यम्	Category:文学
महाभारतम्	摩诃婆罗多
सिकन्दर महान	亚历山大大帝
कान्स्टण्टैन १	君士坦丁大帝
हस्तकन्दुकक्रीडा	手球
सभ्यता	文明
ओट्टो वॉन बिस्मार्क	奥托·冯·俾斯麦
तैमुरलंग	帖木儿
पीटर महान (रूस)	彼得大帝
काफीपेयम्	咖啡
फलरसः	果汁
क्षीरम्	乳
पर्वताः	山
हरि रुद नदी	哈里河
मरुस्थलीयभूमिः	荒漠
सलाउद्दीन	萨拉丁
अशोकः	阿育王
अक्बरः	阿克巴
साइमन बोलीवार	西蒙·玻利瓦尔
क्वामे एन्क्रूमाह	夸梅·恩克鲁玛
हांग् कांग् नगरम्	香港
कराची	卡拉奇
अरब-इस्रैल सङ्घर्षः	阿以冲突
वाल्ट डिज्नी	華特·迪士尼
आर्किमिडीस्	阿基米德
थामस् एडिसन्	爱迪生
एन्रीको फर्मी	恩里科·费米
हेन्री फोर्ड	亨利·福特
जोसेफ फोरिए	约瑟夫·傅里叶
गेलेन्	盖伦
कोषि अगस्टीन् लूयी	奧古斯丁·路易·柯西
सत्यजित राय	萨蒂亚吉特·雷伊
स्टीवन स्पीलबर्ग	斯蒂芬·斯皮尔伯格
योहानेस केप्लर्	约翰内斯·开普勒
माक्स प्लान्क	马克斯·普朗克
निकोला टेस्ला	尼古拉·特斯拉
चाणक्यः	考底利耶
गाटफ्रीड् लैबनिट्ज्	戈特弗里德·莱布尼茨
कार्ल मार्क्स	卡尔·马克思
विद्या	知识
लेतुवाभाषा	立陶宛语
हिन्दूधर्मः	印度教
कुचः	乳房
परमाणुः	原子
अर्विन श्रोडिन्गर	埃尔温·薛定谔
मिथकशास्त्रं	神话
ताजमहल्	泰姬陵
आत्मा	灵魂
धर्मशास्त्रप्रविभागः	宗教
कोरियालि भाषा	朝鮮語
नारायणी	納拉亞尼專區
कैंटोनी भाषा	广州话
रने देकार्त	勒内·笛卡儿
वियतनामी भाषा	越南语
सिग्मण्ड् फ़्रुड्	西格蒙德·弗洛伊德
थाई भाषा	泰语
जैनमतम्	耆那教
जार्ज विल्हेम फ्रेडरिच हेगेल	格奥尔格·威廉·弗里德里希·黑格尔
