Աֆրիկա	非洲
Կարիբյան ծով	加勒比海
Բորիում	𨨏
Հասիում	𨭆
Բան Կի Մուն	潘基文
Քոֆի Անան	科菲·安南
Լիգուրիա	利古里亞
Բուտրոս Բուտրոս-Ղալի	布特羅斯·布特羅斯-蓋里
Մայտներիում	䥑
Կուրտ Վալդհայմ	库尔特·瓦尔德海姆
Կոլորադո	科羅拉多州
Կոլորադո (գետ)	科羅拉多河
Դարմշտադիում	鐽
Դագ Համարշոլդ	达格·哈马舍尔德
Ֆրեդերիկ Շոպեն	弗雷德里克·肖邦
Ռենտգենիում	錀
Լեոնարդ Քոհեն	里奥纳德·科恩
Կատեգորիա:Հիմնական	Category:頁面分類
Լացիո	拉齐奥
Աբրուցցո	阿布鲁佐
Ալպեր	阿尔卑斯山
Կարպատներ	喀尔巴阡山脉
Գրենոբլ	格勒诺布尔
Բլեզ Պասկալ	布莱兹·帕斯卡
Դորտմունդ	多特蒙德
Գենտ	根特
Չիկագո	芝加哥
The Beatles	披頭四樂隊
Վախենինգեն (Նիդերլանդներ)	瓦赫寧恩
Մաստրիխտ	马斯特里赫特
Արնհեմ	阿纳姆
Ձմեռ	冬季
Գարուն	春季
Ամառ	夏季
Աշուն	秋季
Գիշերահավասար	晝夜平分點
Սադդամ Հուսեյն	萨达姆·侯赛因
Ուսամա բեն Լադեն	奥萨马·本·拉登
Իսպաներեն	西班牙语
Ֆրիդրիխ ֆոն Հայեկ	弗里德里希·哈耶克
Մոնտևիդեո	蒙得维的亚
Յոհան Սեբաստիան Բախ	约翰·塞巴斯蒂安·巴赫
Անտոնիո Վիվալդի	安东尼奥·维瓦尔第
Օպերա	歌剧
Ֆիլադելֆիա	費城
Կալկաթա	加尔各答
Չեննայ	金奈
Դելի	德里
Դաքքա	达卡
Սարդեր	蜘蛛
Սարդակերպեր	蛛形纲
Հոդվածոտանիներ	节肢动物
Իսլամաբադ	伊斯兰堡
Պտուղ	果实
Կապիկներ	猴
Փող	貨幣
Վիրջինիա	弗吉尼亚州
Արևմտյան Վիրջինիա	西維吉尼亞州
Հուրոն լիճ	休伦湖
Նյու Յորք (նահանգ)	纽约州
Ցերիում	铈
Պրազեդիում	镨
Ռոդ Այլենդ	羅德島州
Նեոդիմ	钕
Միջատներ	昆虫
Մերիլենդ	马里兰州
Դելավեր	特拉华州
Վլադիմիր Լենին	列宁
Եվրոպիում	铕
Օհայո	俄亥俄州
Վերգիլիոս	维吉尔
Նիկոլո Մաքիավելի	尼可罗·马基亚维利
Փենսիլվանիա	宾夕法尼亚州
Ֆրանչեսկո Պետրարկա	弗朗切斯科·彼特拉克
Ջովաննի Բոկաչչո	乔万尼·薄伽丘
Ուետերսեն	于特森
Օկտավիանոս Օգոստոս	奥古斯都
Մայքրոսոֆթ Վինդոուզ	Microsoft Windows
Տիբերիոս	提贝里乌斯
Նյու Ջերսի	新泽西州
Կալիգուլա	卡利古拉
Ջիբրալթար	直布罗陀
Կլավդիոս	克勞狄一世
Ֆիններեն	芬兰语
Ներոն	尼禄
Գալբա	塞尔维乌斯·苏尔皮基乌斯·加尔巴
Ինդիանա	印第安纳州
Օտոն	奧托
Վիտելլիոս	維特里烏斯
Վեսպասիանոս	韦斯巴芗
Ավտոմեքենա	汽车
Տիտոս	提圖斯
Յուվենտուս	尤文图斯足球俱乐部
Դոմիցիանոս	图密善
Ներվա	涅尔瓦
Տրայանոս	圖拉真
Ռոջեր Ֆեդերեր	罗杰·费德勒
Հադրիանոս	哈德良
Ջորջիա	喬治亞州
Անտոնինոս Պիոս	安敦宁·毕尤
Մարկոս Ավրելիոս	馬爾庫斯·奧列里烏斯
Լուցիոս Վերոս	維魯斯
Կոմմոդոս	康茂德
Զագրեբ	萨格勒布
Պերտինաքս	佩蒂纳克斯
Տեխաս	德克萨斯州
Դիդիուս Հուլիանուս	尤利安努斯
Սեպտիմիոս Սևերոս	塞普蒂米烏斯·塞維魯
Մոլիզե	莫利塞
Թամիլ Նադու	泰米尔纳德邦
Կարակալլա	卡拉卡拉
Ջենովա	热那亚
Բրունո Մարս	布鲁诺·马尔斯
Ալեքսանդրա Ստան	亞歷山德拉·斯坦
Հյուսիսային Կարոլինա	北卡罗来纳州
Մականախաղ	曲棍球
Հարավային Կարոլինա	南卡罗来纳州
Սամպդորիա (Ֆուտբոլային ակումբ)	桑普多利亚足球俱乐部
Կալաբրիա	卡拉布里亚
Լայնականջ ոզնի	大耳猬
Սիցիլիա (մարզ)	西西里岛
Մանիլա	马尼拉
Սարդինիա	撒丁岛
Ֆերդինանդ Մարկոս	费迪南德·马科斯
Լուար (գետ)	卢瓦尔河
Սեն (գետ)	塞纳河
Բորդո	波尔多
Կորասոն Ակինո	柯拉蓉·艾奎諾
Բուենոս Այրես	布宜諾斯艾利斯
Մեխիկո	墨西哥城
Տոկիո	東京都
Լա Պաս	拉巴斯
Բարսելոնա	巴塞罗那
Միսսիսիպի	密西西比州
Ֆերնան Մագելան	斐迪南·麥哲倫
Միսիսիպի գետ	密西西比河
Ավազան (ճարտարապետական)	游泳池
Թենեսի	田纳西州
Ռիխարդ Վագներ	理查德·瓦格纳
Ռոբերտ Լուիս Սթիվենսոն	羅伯特·路易斯·史蒂文森
Ջենիս Ջոպլին	珍妮絲·賈普林
Աբիջան	阿比让
Աբու Դաբի	阿布扎比
Աստանա	阿斯塔納
Նյու Մեքսիկո	新墨西哥州
Ռամզես II	拉美西斯二世
Աթենք	雅典
Մինեսոտա	明尼蘇達州
Բաղդադ	巴格达
Կարակաս	卡拉卡斯
Համաշխարհային կոորդինացված ժամանակ	协调世界时
Վիսկոնսին	威斯康辛州
Կիկերոն	西塞罗
Միլան (ֆուտբոլային ակումբ)	AC米兰
Այովա	艾奥瓦州
Նեբրասկա	內布拉斯加州
Կանզաս	堪薩斯州
Հավանա	哈瓦那
Հինդի	印地语
Ինտերնետ Էքսպլորեր	Internet Explorer
Սիգար	雪茄
Ծխախոտ	香煙
Միսսուրի	密蘇里州
Գեորգ Օհմ	格奥尔格·欧姆
Լուիզիանա	路易斯安那州
Կենտուկի	肯塔基州
Արկանզաս (նահանգ)	阿肯色州
Նիլ Արմստրոնգ	尼尔·阿姆斯特朗
Էդիթ Պիաֆ	艾迪特·皮雅芙
Էլբա	易北河
Ֆրանսուազ Սագան	佛蘭西絲·莎崗
Էմս	埃姆斯河
Օկլահոմա	奧克拉荷馬州
Դանուբ	多瑙河
Բանաստեղծություն	韻文
Սպլիտ (քաղաք)	斯普利特
Ժակ Բրել	雅克·布雷尔
Մոզել (գետ)	摩澤爾河
Մայն	美因河
Աարե (գետ)	阿勒河
Ջեյսոն Ռիչարդսոն	贾森·理查德森
Հյուսիսային ծով	北海 (大西洋)
Սկագերակ	斯卡格拉克海峡
Մոսկվայի մարզ	莫斯科州
Քիլ	基尔
Շվերին	什未林
Պոտսդամ	波茨坦
Հաննովեր	汉诺威
Դյուսելդորֆ	杜塞尔多夫
Մայնց	美茵茨
Վիսբադեն	威斯巴登
Սաարբրյուքեն	萨尔布吕肯
Մյունխեն	慕尼黑
Սամարայի մարզ	萨马拉州
Էրֆուրտ	埃尔福特
Դրեզդեն	德累斯顿
Մագդեբուրգ	马格德堡
Վոլեյբոլ	排球
Ինսբրուք	因斯布鲁克
Վիեննա	維也納
Մադոննա	麥當娜
Կոպենհագեն	哥本哈根
Կալինինգրադի մարզ	加里宁格勒州
Ստոկհոլմ	斯德哥尔摩
Հելսինկի	赫尔辛基
Մուրմանսկի մարզ	摩爾曼斯克州
Դուբլին	都柏林
Մուրմանսկ	摩爾曼斯克
Ռեյկյավիկ	雷克雅維克
Էլլա Ֆիցջերալդ	艾拉·費茲潔拉
Ալեքսանդր Սևերոս	亚历山大·塞维鲁
Տալլին	塔林
Տապանագիր	墓誌銘
Ռիգա	里加
Մակսիմինոս Թրակիացի	馬克西米努斯·色雷克斯
Լուի Արմսթրոնգ	路易斯·阿姆斯特朗
Բրատիսլավա	布拉迪斯拉发
Բուդապեշտ	布达佩斯
Հորդիանոս I (Աֆրիկացի)	戈尔迪安一世
Գդանսկ	格但斯克
Մայնի Ֆրանկֆուրտ	美茵河畔法蘭克福
Վրոցլավ	弗罗茨瓦夫
Լանթան	镧
Պրոմեթիում	钷
Աստղագիտական միավոր	天文單位
Սամարիում	钐
Կալինինգրադ	加里寧格勒
Գադոլինիում	钆
Մահվան տետրը	死亡笔记
Զինեդին Զիդան	齐内丁·齐达内
Տերբիում	铽
Վեյնենդալ	費嫩達爾
Կաթոլիկություն	天主教
Լյուքսեմբուրգ (քաղաք)	盧森堡市
Դիսպրոզիում	镝
Վադուց	瓦都茲
Աստվածաշունչ	聖經
Հոլմիում	钬
Սան Մարինո (քաղաք)	聖馬力諾 (城市)
Էրբիում	铒
Պնոմպեն	金边
Արխանգելսկ	阿尔汉格尔斯克
Թուլիում	铥
Հոշիմին	胡志明市
Իտերբիում	镱
Լուտեցիում	镥
Հանոյ	河內市
Հիսուսի ճշմարիտ եկեղեցի	真耶稣教会
Անգլերեն	英语
Բանգկոկ	曼谷
Անդորրա լա Վելյա	安道尔城
Կուալա Լումպուր	吉隆坡
Թայբեյ	臺北市
Ամերիցիում	镅
Օդեսա	敖德薩
Արխանգելսկի մարզ	阿尔汉格尔斯克州
Կյուրիում	锔
Դոնգհոյ	同海市
Կոնսեպսիոն (քաղաք Չիլիում)	康塞普西翁 (智利)
Բերկլիում	锫
Ատալանտա (ֆուտբոլային ակումբ)	亞特蘭大足球俱樂部
Կալիֆոռնիում	锎
Դիվանագիտություն	外交
Բոլոնիա	博洛尼亚
Էյնշտեյնիում	锿
Բոլոնիա (ֆուտբոլային ակումբ)	博洛尼亚足球俱乐部
Ֆերմիում	镄
Կալյարի	卡利亚里
Մենդելեևիում	钔
Կիև	基輔
Կալյարի ՖԱ	卡利亚里足球俱乐部
Նոբելիում	锘
Կատանիա	卡塔尼亞
Օնտարիո (նահանգ)	安大略
Լոուրենսիում	鐒
Հուգո Լյորիս	雨果·洛里斯
Մաթյո Դեբյուշի	马修·德比希
Ադիլ Ռամի	阿迪尔·拉米
Օլիվիե Ժիրու	奥利弗·吉鲁
Կարիմ Բենզեմա	卡里姆·本泽马
Ֆլորան Մալուդա	弗洛朗·马卢达
Կարելիայի Հանրապետություն	卡累利阿共和国
Պատրիս Էվրա	帕特里斯·埃夫拉
Ֆիլիպ Մեքսես	菲利普·梅克斯
Ֆրանկ Ռիբերի	弗兰克·里贝里
Մաթյո Վալբուենա	馬修·華貝拿
Սամիր Նասրի	萨米尔·纳斯里
Բլեյզ Մատուիդի	布莱瑟·马图伊迪
Ժերեմի Մենեզ	杰雷米·梅內
Օտտավա	渥太華
Աբու Դիաբի	阿布·迪亚比
Յուպիտերի արբանյակներ	木星的卫星
Մանիտոբա (նահանգ)	曼尼托巴
Ալբերտա	艾伯塔
Նոր Շոտլանդիա	新斯科舍
Երևան	葉里溫
Վոլոգդա	沃洛格达
Քոնսքօուօլա	孔斯科沃拉
Խարթում	喀土穆
Նյու Բրանսուիկ	新不倫瑞克
Ֆորմուլա 1	一级方程式赛车
Սատուրնի արբանյակներ	土星的卫星
Բրիտանական Կոլումբիա	不列颠哥伦比亚
Էդուարդ արքայազնի կղզի	愛德華王子島
Ստադ դե Ժերլան	熱爾蘭球場
2000	2000年
2003	2003年
2002	2002年
2001	2001年
Սասկաչևան (նահանգ)	薩斯喀徹溫
2012	2012年
Մասաշի Քիշիմոտո	岸本齐史
2011	2011年
2010	2010年
2009	2009年
Ածխաթթու գազ	二氧化碳
2013	2013年
2014	2014年
2015	2015年
Նյուֆաունդլենդ և Լաբրադոր	紐芬蘭與拉布拉多
2008	2008年
ՋավաՍկրիպտ	JavaScript
Հյուսիսարևմտյան տարածքներ	西北地区 (加拿大)
Յուկոն (Կանադայի տարածք)	育空
2004	2004年
Վոլոգդայի մարզ	沃洛格达州
Վիքիճամփորդություն	维客旅行
Կատանիա ՖԱ	卡塔尼亞足球俱樂部
2005	2005年
2006	2006年
Նունավուտ	努納武特
2007	2007年
Ածխածնի մոնօքսիդ	一氧化碳
Վերոնա	维罗纳
1900	1900年
1901	1901年
Կիևո ՖԱ	切沃维罗纳足球俱乐部
Տիտոս Լիվիոս	蒂托·李维
Շառլ դը Գոլ	夏爾·戴高樂
1902	1902年
Ֆլորենցիա	佛罗伦萨
1903	1903年
1904	1904年
1905	1905年
1907	1907年
1906	1906年
Ֆիորենտինա	佛罗伦萨足球俱乐部
Լուցիուս Աննեուս Սենեկա	塞內卡
1908	1908年
1909	1909年
1992	1992年
1991	1991年
JSON	JSON
1990	1990年
1993	1993年
Էսսեն	埃森
1994	1994年
1995	1995年
1996	1996年
Դեյվիդ Լինչ	大卫·林奇
Կոմի Հանրապետություն	科米共和国
Ջենոա	热那亚板球与足球俱乐部
1910	1910年
1911	1911年
1912	1912年
Scalable Vector Graphics	可縮放向量圖形
Լայպցիգ (քաղաք)	莱比锡
1913	1913年
1914	1914年
1915	1915年
1916	1916年
1997	1997年
1998	1998年
Նյուրնբերգ	纽伦堡
1999	1999年
1917	1917年
1918	1918年
Սննդամթերք	食物
Էդմոնտոն	埃德蒙顿
Վալերիուս Մարցիալիս	马提亚尔
Դույսբուրգ	杜伊斯堡
Տարրական էլեկտրական լիցք	基本电荷
Օձեր	蛇
Բոխում	波鸿
Ժակ Շիրակ	雅克·希拉克
Վուպերտալ	伍珀塔尔
Արիկա և Պարինակոտա	阿里卡和帕里纳科塔大区
Լույսի արագություն	光速
Բիլեֆելդ	比勒费尔德
Տարապակա (տարածաշրջան)	塔拉帕卡大区
XML	XML
Անտոֆագաստա (տարածաշրջան)	安托法加斯塔大区
Մանհայմ	曼海姆
Ատակամա (տարածաշրջան)	阿塔卡马大区
Կոկիմբո (տարածաշրջան)	科金博大区
Նեյտրինո	中微子
ԽՍՀՄ Մինիստրների խորհուրդ	苏联部长会议
Սանտյագոյի մայրաքաղաքային տարածաշրջան	圣地亚哥首都大区
Վիկտորիա (քաղաք, Կանադա)	維多利亞 (卑詩)
Օ'Հիգինս (տարածաշրջան)	奥伊金斯将军解放者大区
Վիննիպեգ (քաղաք)	温尼伯
Նեպտունի արբանյակներ	海王星的卫星
UTC-12	UTC-12
Հունվարի 1	1月1日
Հունվարի 2	1月2日
Ուրանի արբանյակներ	天王星的卫星
UTC-11	UTC-11
1920	1920年
Հունվարի 3	1月3日
1919	1919年
Կոռնելիոս Տակիտոս	塔西陀
1921	1921年
UTC-10	UTC-10
Նենեցյան ինքնավար օկրուգ	涅涅茨自治区
1922	1922年
Մաուլե (տարածաշրջան)	马乌莱大区
Հունվարի 4	1月4日
1923	1923年
Բիոբիո (տարածաշրջան)	比奥比奥大区
UTC-9:30	UTC-9:30
Լենս Արմսթրոնգ	兰斯·阿姆斯特朗
1924	1924年
Նարյան Մար	纳里扬马尔
Արուկանիա (տարածաշրջան)	阿劳卡尼亚大区
Լոս Ռիոս (տարածաշրջան)	河大区
Լոս Լագոս (տարածաշրջան)	湖大区
Այսեն (տարածաշրջան)	伊瓦涅斯将军艾森大区
Քյուերպեդիա	QRpedia
UTC-9	UTC-9
Ռուսաստանի Խորհրդային Ֆեդերատիվ Սոցիալիստական Հանրապետություն	俄罗斯苏维埃联邦社会主义共和国
Ժորժ Պոմպիդու	乔治·蓬皮杜
Մագալանես և Չիլիական Անտարկտիկա	麦哲伦-智利南极大区
Լենինգրադի մարզ	列宁格勒州
Windows Media Audio	Windows Media Audio
Հռոմուլոս և Հռեմոս	罗慕路斯与雷穆斯
Գաճաճ մոլորակ	矮行星
Հունվարի 5	1月5日
Արիկա	阿里卡
UTC-8	UTC-8
Մալմյո	马尔默
UTC-7	UTC-7
Պսկով	普斯科夫
Աթաբասկա (գետ)	阿萨巴斯卡河
Պսկովի մարզ	普斯科夫州
Հունվարի 6	1月6日
Էլեկտրոն	电子
Հունվարի 7	1月7日
Հունվարի 8	1月8日
Մեծ Նովգորոդ	大诺夫哥罗德
Հունվարի 9	1月9日
Նովգորոդի մարզ	諾夫哥羅德州
Հունվարի 10	1月10日
Նիժնի Նովգորոդի մարզ	下诺夫哥罗德州
Հունվարի 11	1月11日
Հունվարի 12	1月12日
Լիարդ	利亚德河
Կոլումբիա (գետ)	哥倫比亞河
Հունվարի 13	1月13日
Բիրմինգհեմ	伯明翰
Հունվարի 14	1月14日
Հունվարի 15	1月15日
Հունվարի 16	1月16日
Թոմ Հենքս	汤姆·汉克斯
Հունվարի 17	1月17日
Հունվարի 18	1月18日
Հունվարի 19	1月19日
Հունվարի 20	1月20日
Արդյունաբերական հեղափոխություն	工业革命
Բենզոլ	苯
Հունվարի 21	1月21日
Հունվարի 22	1月22日
Հունվարի 23	1月23日
Հռոմեական կայսրություն	羅馬帝國
Հունվարի 24	1月24日
Հունվարի 25	1月25日
Մինսկ	明斯克
Հունվարի 26	1月26日
Մայքրոսոֆթ	微软
Հունվարի 27	1月27日
Հունվարի 28	1月28日
Հունվարի 29	1月29日
Հունվարի 30	1月30日
Տվեր	特维尔
Հունվարի 31	1月31日
Տվերի մարզ	特维尔州
Պրոտոն	質子
Դեկտեմբերի 2	12月2日
Դեկտեմբերի 1	12月1日
Դեկտեմբերի 3	12月3日
Դեկտեմբերի 7	12月7日
Դեկտեմբերի 5	12月5日
Դեկտեմբերի 8	12月8日
Դեկտեմբերի 10	12月10日
Դեկտեմբերի 6	12月6日
Դեկտեմբերի 9	12月9日
Փինք Ֆլոյդ	平克·弗洛伊德
Կոռնելիոս Սկիպիոն Էմիլիանոս Աֆրիկացի կրտսեր	小西庇阿
Դեկտեմբերի 4	12月4日
Փետրվարի 1	2月1日
Փետրվարի 2	2月2日
Նատրիումի քլորիդ	氯化钠
Փետրվարի 3	2月3日
Կուրուվ	库鲁夫
Փետրվարի 4	2月4日
Փետրվարի 5	2月5日
Փետրվարի 6	2月6日
Փետրվարի 7	2月7日
Փետրվարի 8	2月8日
Փետրվարի 9	2月9日
Փետրվարի 10	2月10日
Քիմիա	化學
Լեդ Զեփելին	齐柏林飞船 (乐团)
Փետրվարի 14	2月14日
Փետրվարի 13	2月13日
Փետրվարի 15	2月15日
Փետրվարի 11	2月11日
Փետրվարի 12	2月12日
Սմոլենսկ	斯摩棱斯克
Ռոբին վան Պերսի	罗宾·范佩西
Փետրվարի 19	2月19日
Փետրվարի 17	2月17日
Փետրվարի 16	2月16日
Փետրվարի 18	2月18日
Փետրվարի 20	2月20日
