આફ્રિકા	非洲
ઓક્ટોબર ૯	10月9日
ઓક્ટોબર ૮	10月8日
ઓક્ટોબર ૧૩	10月13日
ઓક્ટોબર ૭	10月7日
ઓક્ટોબર ૧૧	10月11日
ઓક્ટોબર ૬	10月6日
ઓક્ટોબર ૪	10月4日
ઓક્ટોબર ૫	10月5日
ઓક્ટોબર ૩	10月3日
ઓક્ટોબર ૨	10月2日
બકરી	家山羊
ઓક્ટોબર ૩૧	10月31日
ઓક્ટોબર ૩૦	10月30日
ઓક્ટોબર ૨૯	10月29日
ઓક્ટોબર ૨૮	10月28日
ઓક્ટોબર ૨૬	10月26日
ઓક્ટોબર ૨૫	10月25日
ઓક્ટોબર ૨૪	10月24日
ઓક્ટોબર ૨૭	10月27日
ઓક્ટોબર ૨૨	10月22日
ઓક્ટોબર ૨૩	10月23日
ઓક્ટોબર ૨૦	10月20日
ઓક્ટોબર ૨૧	10月21日
ઓક્ટોબર ૧૯	10月19日
ઓક્ટોબર ૧૭	10月17日
ઓક્ટોબર ૧૬	10月16日
ઓક્ટોબર ૧૮	10月18日
નવેમ્બર ૧૫	11月15日
નવેમ્બર ૧૪	11月14日
નવેમ્બર ૧૩	11月13日
નવેમ્બર ૧૨	11月12日
નવેમ્બર ૧૧	11月11日
નવેમ્બર ૧૦	11月10日
નવેમ્બર ૭	11月7日
નવેમ્બર ૮	11月8日
નવેમ્બર ૯	11月9日
નવેમ્બર ૬	11月6日
નવેમ્બર ૫	11月5日
નવેમ્બર ૪	11月4日
નવેમ્બર ૩	11月3日
નવેમ્બર ૨	11月2日
નવેમ્બર ૧	11月1日
પારામારિબો	帕拉马里博
નવેમ્બર ૩૦	11月30日
નવેમ્બર ૨૯	11月29日
નવેમ્બર ૨૮	11月28日
નવેમ્બર ૨૭	11月27日
નવેમ્બર ૨૬	11月26日
નવેમ્બર ૨૫	11月25日
નવેમ્બર ૨૩	11月23日
નવેમ્બર ૨૪	11月24日
નવેમ્બર ૨૧	11月21日
નવેમ્બર ૨૦	11月20日
નવેમ્બર ૨૨	11月22日
નવેમ્બર ૧૯	11月19日
નવેમ્બર ૧૮	11月18日
નવેમ્બર ૧૭	11月17日
નવેમ્બર ૧૬	11月16日
કાઠમંડુ	加德滿都
સીડની	悉尼
મેલબોર્ન	墨尔本
પર્થ	珀斯
નાઈલ નદી	尼罗河
કોંગો નદી	刚果河
ધૂમકેતુ	彗星
જાકાર્તા	雅加达
જાવા (ટાપુ)	爪哇岛
એડિડાસ	愛迪達
વિકિપીડિયા:પ્રયોગસ્થળ	Wikipedia:沙盒
વિકિપીડિયા:સ્વાગત	Wikipedia:新手入門/主頁
કમ્પ્યુટર હાર્ડવેર	硬件
નકશો	地图
નવસાર	氨
ડૉંગ હેકટર એરપોર્ટ	同海機場
શૂન્યાવકાશ	外层空间
આત્મકથા	自传
ખગોળીય દૂરબીન	望远镜
માઇલી સાઇરસ	麥莉·希拉
માર્જરિન	植物牛油
મધરબોર્ડ	主板
USB ડ્રાઇવ	闪存盘
પંજાબ (પાકિસ્તાન)	旁遮普省
મહાબોધિ મંદિર	摩訶菩提寺
સહ્યાદ્રિ પર્વતમાળા	西高止山脉
કન્ફ્યુશિયસ	孔子
કોર્બીન બ્લુ	柯賓·布魯
શ્રેણી:ગણિત	Category:数学
ફરો દ્વિપસમૂહ	法罗群岛
સુરત	苏拉特
સાયપ્રસનો રાષ્ટ્રધ્વજ	塞浦路斯国旗
ઢાંચો:Country data Iran	Template:Country data Iran
બાલી	巴厘岛
માળો (પક્ષી)	巢
લૅરી પેજ	拉里·佩奇
ગંગા નદી	恒河
સેલિન ડીયોન	席琳·狄翁
ખંડ	洲
એડિલેઇડ	阿德莱德
પક્ષી	鸟
રાજધાની	首都
ઢાંચો:ઇસ્લામ	Template:伊斯兰教
ગુજરાતી ભાષા	古吉拉特语
મહિનો	月
ઢાંચો:Portal	Template:Portal
હુઆંગ ઝીયાન-ફાન	黄现璠
બિલ ગેટ્સ	比尔·盖茨
જ્ઞાનકોશ	百科全书
મુખપૃષ્ઠ	Wikipedia:首页
સિંધવ	石鹽
બાસ્કેટબોલ (રમત)	篮球
ક્રિકેટ	板球
યુરેશીયા	歐亞大陸
હિમાલય	喜马拉雅山脉
કેપ ટાઉન	開普敦
કેસ્પિયન સમુદ્ર	裏海
વિન્સેન્ટ વેન ગો	文森特·梵高
વૅલેન્શિયા નો પ્રદેશ	巴倫西亞自治區
મોહેં-જો-દડો	摩亨佐-达罗
પેટ્રા	佩特拉
એવર્ટન ફૂટબોલ ક્લબ	埃弗顿足球俱乐部
મક્કા	麥加
ચે ગૂવેરા	切·格瓦拉
નોવાક યોકોવિચ	諾瓦克·喬科維奇
એરબસ એ ૩૮૦	空中客车A380
ચિચેન ઇત્ઝા	奇琴伊察
તમિલ ભાષા	泰米尔语
ચા	茶
માર્કો પોલો	马可·波罗
પોર્ટલેન્ડ, ઑરેગોન	波特蘭 (俄勒岡州)
મૂડીવાદ	资本主义
દેશ	国家
હિલેરી ક્લિન્ટન	希拉里·罗德姆·克林顿
કોનકોર્ડ	协和飞机
ડોનાલ્ડ ડક	唐老鸭
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	斯特拉斯堡
ક્રોએશિયન ભાષા	克罗地亚语
શેતાન	魔鬼
રેનો	雷诺
કાલિદાસ	迦梨陀娑
ઉલ્કાઓ	流星体
ગૌતમ બુદ્ધ	佛
જૈવ તકનીક	生物技术
વિશ્વ બેંક	世界银行
લોકશાહી	民主
વૈશ્વિકરણ	全球化
નોબૅલ પારિતોષિક	诺贝尔奖
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	伊丽莎白一世 (英格兰)
રવિન્દ્રનાથ ટાગોર	罗宾德拉纳特·泰戈尔
માર્ક ટ્વેઇન	马克·吐温
ઍલન ટ્યુરિંગ	艾伦·图灵
આતંકવાદ	恐怖主义
નાઝીવાદ	纳粹主义
વાસ્કો દ ગામા	瓦斯科·達伽馬
સિંધુ	印度河
કાન	耳
આંખ	眼
ગીત	歌曲
હાથી	象
કીડી	蚂蚁
આન્દ્રે અગાસી	安德烈·阿加西
રીંગણ	茄
હિમવર્ષા	雪
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	世界贸易组织
ચાઇનીઝ ભાષા	汉语
કુદરત	自然
રક્ત	血液
કંકાલતંત્ર	骨骼系統
ફેફસાં	肺
મેઘ	雨
વૈશ્વિક ઉષ્ણતા	全球变暖
ધરતીકંપ	地震
સત્ય	真理
કોમ્પ્યુટર માઉસ	鼠标
નેલ્સન મંડેલા	纳尔逊·曼德拉
માર્ટિન લ્યૂથર કિંગ	马丁·路德·金
અવતરણ ચિહ્ન	引号
કુદરતી આફતો	自然灾害
પૂર	洪灾
સુનામી	海啸
જ્વાળામુખી	火山
વાદળ	云
ત્રિકોણમિતિ	三角学
ભૂમિતિ	几何学
તેલુગુ ભાષા	泰卢固语
ગ્રીક મૂળાક્ષરો	希腊字母
શ્રેણી:ફ્રાન્સ	Category:法国
શ્રેણી:સંગીત	Category:音乐
શ્રેણી:સાહિત્ય	Category:文学
નવલકથા	長篇小說
મહાભારત	摩诃婆罗多
હેરી પોટર	哈利·波特
મશક વાજું	风笛
પીડોફિલિયા (બાળ યૌનશોષણ)	恋童
સિકંદર	亚历山大大帝
સંસ્કૃતિ	文明
પુરુષ	男性
લગ્ન	婚姻
ફાંસીની સજા	死刑
ગુલામી પ્રથા	奴隶制度
દૂધ	乳
પર્વત	山
અશોક	阿育王
અકબર	阿克巴
હોંગકોંગ	香港
કરાચી	卡拉奇
લાગોસ	拉哥斯
આર્કિમીડીઝ	阿基米德
થૉમસ ઍડિસન	爱迪生
યુક્લિડ	欧几里得
ડોમેન નામ પ્રણાલી	域名系统
સંકેતલિપિ	密码学
ઈન્ટરનેટ પ્રોટોકોલ	网际协议
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	传输控制协议
યુનિકોડ	Unicode
સત્યજીત રે	萨蒂亚吉特·雷伊
નક્ષત્ર	星座
નૉર્વેજિયન ભાષા	挪威语
ચાણક્ય	考底利耶
બાગમતી પ્રાંત (નેપાળ)	巴格馬蒂專區
નોઆમ ચોમ્સ્કી	诺姆·乔姆斯基
ભેરી પ્રાંત (નેપાળ)	佩里專區
મુસા	摩西
ધવલાગિરી પ્રાંત (નેપાળ)	道拉吉里专区
હિંદુ ધર્મ	印度教
અણુ	原子
પ્રકાશ	光
ગંડકી પ્રાંત (નેપાળ)	甘达基专区
તાજ મહેલ	泰姬陵
જનકપુર પ્રાંત (નેપાળ)	賈納克布爾專區
ઇ-મેઇલ	电子邮件
કર્ણાલી પ્રાંત (નેપાળ)	格爾納利專區
ફારસી ભાષા	波斯语
કોશી પ્રાંત (નેપાળ)	戈希專區
લુમ્બિની પ્રાંત (નેપાળ)	藍毗尼專區
મહાકાલી પ્રાંત (નેપાળ)	馬哈卡利專區
મેચી પ્રાંત (નેપાળ)	梅吉專區
ઇબ્રાહિમ	亞伯拉罕
નારાયણી પ્રાંત (નેપાળ)	納拉亞尼專區
રાપ્તી પ્રાંત (નેપાળ)	拉布蒂專區
સગરમાથા પ્રાંત (નેપાળ)	萨加玛塔专区
સેતી પ્રાંત (નેપાળ)	塞蒂專區
યુનાઇટેડ સ્ટેટ્સ આર્મી	美国陆军
લુમ્બિની	藍毗尼
જૈન ધર્મ	耆那教
યહૂદી ધર્મ	犹太教
લાઓત્સે	老子
જીમેઇલ	Gmail
યોગ	瑜伽
સિમા કીઆન	司馬遷
મનોવિજ્ઞાન	心理学
મહાવીર સ્વામી	笩駄摩那
ટિમ્બક્ટુ	廷巴克图
લોથલ	洛塔
વલ્લભભાઈ પટેલ	萨达尔·瓦拉巴伊·帕特尔
મુહમ્મદ	穆罕默德
ખેડબ્રહ્મા	凯德布拉赫马
આઇપોડ	IPod
સચિન તેંડુલકર	沙奇·德鲁卡
અબ્દુલ કલામ	阿卜杜尔·卡拉姆
બીબીસી	英国广播公司
શાહરૂખ ખાન	沙·魯克·罕
સલમાન ખાન	薩爾曼·汗
કૅટરિના કૈફ	卡特丽娜·卡芙
આમિર ખાન	阿米爾·罕
અમિતાભ બચ્ચન	阿米塔布·巴沙坎
કન્ફયુસીયસ ધર્મ	儒家
તાઓ ધર્મ	道教
જરથોસ્તી ધર્મ	琐罗亚斯德教
બંગાળી ભાષા	孟加拉语
જીભ	舌
ચેલ્સી ફૂટબોલ ક્લબ	切尔西足球俱乐部
આર્સેનલ ફૂટબોલ ક્લબ	阿森纳足球俱乐部
સ્વાદુપિંડ	胰脏
ફૉકલેન્ડ ટાપુઓ	福克兰群岛
બ્લૂઝ	藍調
ઇરોડ	埃罗德
પ્રાથમિક શાળા	小学
સેલમ	塞勒姆 (印度)
કોઇમ્બતુર	哥印拜陀
ઊટકામંડ	乌塔卡蒙德
મૈસૂર	迈索尔
નીલગિરિ	尼尔吉里丘陵
રફેલ નડાલ	拉斐爾·拿度
રાહુલ ગાંધી	拉胡爾·甘地
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	印度国民大会党
ભારતીય જનતા પાર્ટી	印度人民党
દિવાળી	排燈節
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	英法海底隧道
હોળી	侯丽节
પાયથાગોરસ	毕达哥拉斯
કુંભ મેળો	大壺節
કોલોસીયમ	罗马斗兽场
સપ્તર્ષિ	北斗七星
ડેવિડ બેકહામ	大卫·贝克汉姆
આવર્ત કોષ્ટક	元素周期表
કબૂતર	鸠鸽科
અંધાપો	失明
ચીઝ	乾酪
દ્રાક્ષ	葡萄
ટાઇગર વુડ્સ	老虎伍茲
બટાકાં	马铃薯
શાકભાજી	蔬菜
સ્નૂકર	斯诺克
ઇજનેરી	工程学
પ્રત્યાયન	通信
સંસ્કૃત ભાષા	梵语
રુધિરાભિસરણ તંત્ર	循环系统
IPv4	IPv4
IP એડ્રેસ	IP地址
પ્રશ્નચિહ્ન	问号
વર્લ્ડ ટ્રેડ સેન્ટર	世界贸易中心
ફ્રિડમ ટાવર	世界貿易中心一號大樓
મીઠું	食盐
ફિડલ કાસ્ટ્રો	菲德尔·卡斯特罗
મેનહટન	曼哈頓
તત્વ	化學元素
આર્યભટ્ટ	阿耶波多
શિવ	湿婆
વિષ્ણુ	毗湿奴
લોકલ એરિયા નેટવર્ક	局域网
વાઈડ એરિયા નેટવર્ક	广域网
વિદ્યુત-ચુંબકીય તરંગો	电磁波
બ્રહ્મા	梵天
બળ	力
ચુંબકીયક્ષેત્ર	磁場
ગુરુત્વાકર્ષણ	引力
માર્શલ આર્ટસ	武術
જુડો	柔道
દળ	质量
ધાતુ	金属
વાયુ	气体
પ્રવાહી	液体
ઘન	固体
કૃષિ	农业
કપાસ	棉花
કપડાં	服装
તાપમાન	温度
ધાતુશાસ્ત્ર	冶金学
કાગળ	纸
ક્ષેત્રફળ	面积
દેનપસાર	丹帕沙
સેકન્ડ	秒
મકાઈ	玉米
માટીકામ	陶器
સ્ટેફી ગ્રાફ	施特菲·格拉芙
હવામાન	天气
લાહોર	拉合爾
મેસોપોટેમીયા	美索不达米亚
પ્રાચીન ઇજિપ્ત	古埃及
ગુપ્ત સામ્રાજ્ય	笈多王朝
સ્લીપિંગ બ્યૂટી	睡美人
સિન્ડ્રેલા	灰姑娘
રાજકોટ	拉杰果德
જુનાગઢ	朱納格特
વડોદરા	巴罗达 (古吉拉特邦)
ગાંધીનગર	甘地讷格尔
મિકી માઉસ	米老鼠
પ્રકાશસંશ્લેષણ	光合作用
કર્કરોગ (કેન્સર)	癌症
ઘઉં	小麦
બધિરતા	聾
ગ્રેગોરીયન પંચાંગ	公历
નિકોટિન	尼古丁
હૃદયરોગનો હુમલો	心肌梗死
મલેરિયા	疟疾
કુપોષણ	營養不良
ગુપ્તરોગ	性傳播疾病
એડ્સ	艾滋病
ક્ષય રોગ	結核
મધુપ્રમેહ	糖尿病
ઢાંચો:Location map India	Template:Location map India
જાન્યુઆરી ૦	1月0日
બુર્જ દુબઈ	哈里發塔
ચીનની મહાન દિવાલ	长城
પિરામિડ	金字塔
ફેશન	時裝
તલવાર	劍
પેલે	比利
જયોર્જ સોરોસ	乔治·索罗斯
વિનોબા ભાવે	維諾巴·巴韋
સ્ટ્રોબેરી	草莓
વર્ડપ્રેસ	WordPress
લીચી (ફળ)	荔枝
નારિયેળ	椰
દાડમ	石榴
સંતરુ (ફળ)	橙
રાજસ્થાની ભાષા	拉贾斯坦语
આઇસ્ક્રીમ	冰淇淋
ઢાંચો:Location map Canada	Template:Location map Canada
સીદી	希狄
નિરોધ	避孕套
ડોલર	元 (貨幣)
વડાપ્રધાન	总理
થોર	仙人掌
ગરમ મસાલો	葛拉姆馬薩拉
ઘર ચકલી	家麻雀
મકાઉ	澳門
ચીકુ	人心果
એ.એસ.એલ.વી.યાન	加強號衛星運載火箭
હુ જિન્તાઓ	胡锦涛
જિરાફ	长颈鹿
અરિયાલુર જિલ્લો	阿里雅盧爾縣
ચેન્નઈ જિલ્લો	金奈縣
કોઇમ્બતુર જિલ્લો	哥印拜陀縣
કડ્ડલોર જિલ્લો	古達羅爾縣
